structure,workload,n,operation,time_ms,run_id
BST,reverse,50000,insert,6206.92,1
BST,reverse,50000,insert,7263.99,2
BST,reverse,50000,insert,7353.98,3
BST,reverse,50000,search,3564.74,1
BST,reverse,50000,search,3607.52,2
BST,reverse,50000,search,4642.8,3
BTree,reverse,50000,insert,7.81458,1
BTree,reverse,50000,insert,8.7819,2
BTree,reverse,50000,insert,8.90737,3
BTree,reverse,50000,search,3.9452,1
BTree,reverse,50000,search,3.71901,2
BTree,reverse,50000,search,3.72566,3
vEB,reverse,50000,build,1.66409,1
vEB,reverse,50000,build,1.08003,2
vEB,reverse,50000,build,1.07042,3
vEB,reverse,50000,search,2.68221,1
vEB,reverse,50000,search,2.70597,2
vEB,reverse,50000,search,2.71565,3
BST,zipfian,50000,insert,178.053,1
BST,zipfian,50000,insert,219.52,2
BST,zipfian,50000,insert,212.021,3
BST,zipfian,50000,search,3.24254,1
BST,zipfian,50000,search,3.2404,2
BST,zipfian,50000,search,3.18614,3
BTree,zipfian,50000,insert,11.1648,1
BTree,zipfian,50000,insert,11.5565,2
BTree,zipfian,50000,insert,11.6055,3
BTree,zipfian,50000,search,4.7368,1
BTree,zipfian,50000,search,4.65175,2
BTree,zipfian,50000,search,4.74999,3
vEB,zipfian,50000,build,1.47277,1
vEB,zipfian,50000,build,1.01749,2
vEB,zipfian,50000,build,0.984057,3
vEB,zipfian,50000,search,1.06518,1
vEB,zipfian,50000,search,1.04667,2
vEB,zipfian,50000,search,1.0574,3
BST,uniform,100000,insert,20.9663,1
BST,uniform,100000,insert,26.3262,2
BST,uniform,100000,insert,26.6753,3
BST,uniform,100000,search,15.4576,1
BST,uniform,100000,search,14.9135,2
BST,uniform,100000,search,14.9587,3
BTree,uniform,100000,insert,28.5615,1
BTree,uniform,100000,insert,29.8519,2
BTree,uniform,100000,insert,29.8089,3
BTree,uniform,100000,search,22.8069,1
BTree,uniform,100000,search,22.9995,2
BTree,uniform,100000,search,22.2014,3
vEB,uniform,100000,build,2.92869,1
vEB,uniform,100000,build,1.8864,2
vEB,uniform,100000,build,2.01653,3
vEB,uniform,100000,search,5.10587,1
vEB,uniform,100000,search,5.01718,2
vEB,uniform,100000,search,5.07469,3
BST,sorted,100000,insert,39071.3,1
BST,sorted,100000,insert,43638,2
BST,sorted,100000,insert,32343.3,3
BST,sorted,100000,search,18286.1,1
BST,sorted,100000,search,17023.1,2
BST,sorted,100000,search,22791.9,3
BTree,sorted,100000,insert,12.0961,1
BTree,sorted,100000,insert,14.5052,2
BTree,sorted,100000,insert,14.1777,3
BTree,sorted,100000,search,7.05209,1
BTree,sorted,100000,search,6.95345,2
BTree,sorted,100000,search,7.00558,3
vEB,sorted,100000,build,3.11389,1
vEB,sorted,100000,build,1.95988,2
vEB,sorted,100000,build,1.92589,3
vEB,sorted,100000,search,5.03913,1
vEB,sorted,100000,search,4.96618,2
vEB,sorted,100000,search,4.8817,3
BST,reverse,100000,insert,35049.7,1
BST,reverse,100000,insert,40133.5,2
BST,reverse,100000,insert,37375.9,3
BST,reverse,100000,search,19474.5,1
BST,reverse,100000,search,18733.8,2
BST,reverse,100000,search,15367,3
BTree,reverse,100000,insert,10.8954,1
BTree,reverse,100000,insert,12.0593,2
BTree,reverse,100000,insert,12.4862,3
BTree,reverse,100000,search,5.30588,1
BTree,reverse,100000,search,4.85854,2
BTree,reverse,100000,search,4.8743,3
vEB,reverse,100000,build,2.59913,1
vEB,reverse,100000,build,1.67726,2
vEB,reverse,100000,build,1.57574,3
vEB,reverse,100000,search,3.85347,1
vEB,reverse,100000,search,3.85952,2
vEB,reverse,100000,search,3.82738,3
BST,zipfian,100000,insert,614.196,1
BST,zipfian,100000,insert,822.855,2
BST,zipfian,100000,insert,817.678,3
BST,zipfian,100000,search,6.51148,1
BST,zipfian,100000,search,6.0277,2
BST,zipfian,100000,search,6.08709,3
BTree,zipfian,100000,insert,20.1864,1
BTree,zipfian,100000,insert,21.2081,2
BTree,zipfian,100000,insert,21.2991,3
BTree,zipfian,100000,search,8.58237,1
BTree,zipfian,100000,search,9.19004,2
BTree,zipfian,100000,search,8.58994,3
vEB,zipfian,100000,build,2.47478,1
vEB,zipfian,100000,build,1.72024,2
vEB,zipfian,100000,build,1.61805,3
vEB,zipfian,100000,search,1.73439,1
vEB,zipfian,100000,search,1.61448,2
vEB,zipfian,100000,search,1.7982,3
BST,uniform,200000,insert,41.9396,1
BST,uniform,200000,insert,51.5726,2
BST,uniform,200000,insert,49.8526,3
BST,uniform,200000,search,30.1587,1
BST,uniform,200000,search,30.1268,2
BST,uniform,200000,search,29.6119,3
BTree,uniform,200000,insert,54.5015,1
BTree,uniform,200000,insert,61.408,2
BTree,uniform,200000,insert,54.8733,3
BTree,uniform,200000,search,43.3826,1
BTree,uniform,200000,search,43.976,2
BTree,uniform,200000,search,46.8426,3
vEB,uniform,200000,build,5.2304,1
vEB,uniform,200000,build,3.24729,2
vEB,uniform,200000,build,3.69127,3
vEB,uniform,200000,search,8.8704,1
vEB,uniform,200000,search,8.72907,2
vEB,uniform,200000,search,10.5556,3
BTree,sorted,200000,insert,22.8039,1
BTree,sorted,200000,insert,29.2685,2
BTree,sorted,200000,insert,25.7164,3
BTree,sorted,200000,search,13.4409,1
BTree,sorted,200000,search,13.2248,2
BTree,sorted,200000,search,13.0441,3
vEB,sorted,200000,build,5.20835,1
vEB,sorted,200000,build,3.86809,2
vEB,sorted,200000,build,3.64589,3
vEB,sorted,200000,search,9.23887,1
vEB,sorted,200000,search,9.05703,2
vEB,sorted,200000,search,9.08677,3
BTree,reverse,200000,insert,27.5273,1
BTree,reverse,200000,insert,30.6718,2
BTree,reverse,200000,insert,30.5136,3
BTree,reverse,200000,search,13.2828,1
BTree,reverse,200000,search,13.5991,2
BTree,reverse,200000,search,13.4713,3
vEB,reverse,200000,build,5.66675,1
vEB,reverse,200000,build,3.88621,2
vEB,reverse,200000,build,3.82412,3
vEB,reverse,200000,search,9.92527,1
vEB,reverse,200000,search,9.64251,2
vEB,reverse,200000,search,9.72093,3
BST,zipfian,200000,insert,3023.27,1
BST,zipfian,200000,insert,3236.13,2
BST,zipfian,200000,insert,3194.76,3
BST,zipfian,200000,search,17.8771,1
BST,zipfian,200000,search,17.4502,2
BST,zipfian,200000,search,17.0688,3
BTree,zipfian,200000,insert,56.0549,1
BTree,zipfian,200000,insert,54.7163,2
BTree,zipfian,200000,insert,56.0883,3
BTree,zipfian,200000,search,25.4603,1
BTree,zipfian,200000,search,25.2125,2
BTree,zipfian,200000,search,24.3119,3
vEB,zipfian,200000,build,6.39791,1
vEB,zipfian,200000,build,4.04762,2
vEB,zipfian,200000,build,3.96363,3
vEB,zipfian,200000,search,4.11321,1
vEB,zipfian,200000,search,3.99862,2
vEB,zipfian,200000,search,3.92337,3
BST,uniform,500000,insert,169.725,1
BST,uniform,500000,insert,237.378,2
BST,uniform,500000,insert,256.223,3
BST,uniform,500000,search,148.364,1
BST,uniform,500000,search,142.746,2
BST,uniform,500000,search,137.784,3
BTree,uniform,500000,insert,210.58,1
BTree,uniform,500000,insert,197,2
BTree,uniform,500000,insert,204.697,3
BTree,uniform,500000,search,199.797,1
BTree,uniform,500000,search,230.758,2
BTree,uniform,500000,search,328.882,3
vEB,uniform,500000,build,17.0452,1
vEB,uniform,500000,build,11.1605,2
vEB,uniform,500000,build,12.6872,3
vEB,uniform,500000,search,30.5968,1
vEB,uniform,500000,search,28.6963,2
vEB,uniform,500000,search,28.6755,3
BTree,sorted,500000,insert,75.0186,1
BTree,sorted,500000,insert,79.3386,2
BTree,sorted,500000,insert,83.1816,3
BTree,sorted,500000,search,49.1248,1
BTree,sorted,500000,search,48.3428,2
BTree,sorted,500000,search,47.9082,3
vEB,sorted,500000,build,23.8753,1
vEB,sorted,500000,build,12.7453,2
vEB,sorted,500000,build,12.3897,3
vEB,sorted,500000,search,31.5813,1
vEB,sorted,500000,search,31.354,2
vEB,sorted,500000,search,30.4081,3
BTree,reverse,500000,insert,98.6708,1
BTree,reverse,500000,insert,112.771,2
BTree,reverse,500000,insert,136.472,3
BTree,reverse,500000,search,52.7988,1
BTree,reverse,500000,search,52.3488,2
BTree,reverse,500000,search,52.7824,3
vEB,reverse,500000,build,21.9842,1
vEB,reverse,500000,build,14.4761,2
vEB,reverse,500000,build,17.2755,3
vEB,reverse,500000,search,33.7767,1
vEB,reverse,500000,search,33.683,2
